adduser	3.134
adwaita-icon-theme	43-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.8-1
alsa-utils	1.2.8-1+rpt1
apparmor	3.0.8-3
appstream	0.16.1-2+b1
apt	2.6.1
apt-listchanges	3.24
apt-utils	2.6.1
at-spi2-common	2.50.0-1~bpo12+rpt1
at-spi2-core	2.50.0-1~bpo12+rpt1
avahi-daemon	0.8-10+deb12u1
avahi-utils	0.8-10+deb12u1
avr-libc	1:2.0.0+Atmel3.6.2-3
avrdude	7.1+dfsg-3
base-files	12.4+deb12u15
base-passwd	3.6.1
bash	5.2.15-2+b13
bash-completion	1:2.11-6
binutils	2.40-2
binutils-aarch64-linux-gnu	2.40-2
binutils-arm-none-eabi	2.40-2+18+b1
binutils-avr	2.26.20160125+Atmel3.6.2-4
binutils-common:arm64	2.40-2
blt	2.5.3+dfsg-4.1
bluez	5.66-1+rpt1+deb12u2
bluez-firmware	1.2-9+rpt4
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
build-essential	12.9
busybox	1:1.35.0-4+deb12u1+b1
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
cifs-utils	2:7.0-2
cmake	3.25.1-1
cmake-data	3.25.1-1
console-setup	1.221rpt1
console-setup-linux	1.221rpt1
containerd.io	2.2.6-1~debian.12~bookworm
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
crudini	0.9.4-1
curl	7.88.1-10+deb12u15
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dc	1.07.1-3
dconf-cli	0.40.0-4
dconf-gsettings-backend:arm64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debconf-i18n	1.5.82
debconf-utils	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
device-tree-compiler	1.6.1-4+b1
dfu-util	0.11-1
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
distro-info-data	0.58+deb12u7
dmidecode	3.4-1
dmsetup	2:1.02.185-2
dns-root-data	2024071801~deb12u1
dnsmasq-base	2.90-4~deb12u2
docker-buildx-plugin	0.36.0-1~debian.12~bookworm
docker-ce	5:29.6.2-1~debian.12~bookworm
docker-ce-cli	5:29.6.2-1~debian.12~bookworm
docker-ce-rootless-extras	5:29.6.2-1~debian.12~bookworm
docker-compose-plugin	5.3.1-1~debian.12~bookworm
docker-model-plugin	1.2.6-1~debian.12~bookworm
dos2unix	7.4.3-1
dosfstools	4.2-1
dphys-swapfile	20100506-7.1+rpt3
dpkg	1.22.22~bpo12+rpt1
dpkg-dev	1.22.22~bpo12+rpt1
e2fsprogs	1.47.0-2+b2
